date,source,site_id,poc,daily_mean_pm10_conentration,units,daily_aqi_value,site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude
2020-03-13,AQS,60070008,3,32,ug/m3 SC,30,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-14,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-15,AQS,60070008,3,3,ug/m3 SC,3,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-16,AQS,60070008,3,5,ug/m3 SC,5,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-18,AQS,60070008,3,3,ug/m3 SC,3,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-26,AQS,60070008,3,5,ug/m3 SC,5,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-27,AQS,60070008,3,9,ug/m3 SC,8,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-28,AQS,60070008,3,15,ug/m3 SC,14,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-29,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-03-30,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
